Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
0.257903	 1.5022e-15	 1.4574e-15	 1.8422e-15	 1.0364e-15	 4.48e-17	 0.0151372
0.25907	 1.3479e-15	 1.305e-15	 1.6132e-15	 9.2723e-16	 4.29e-17	 0.016171
0.260235	 1.1699e-15	 1.1321e-15	 1.4368e-15	 8.0307e-16	 3.78e-17	 0.0164205
0.261399	 1.0142e-15	 9.8086e-16	 1.2519e-15	 6.965e-16	 3.334e-17	 0.0167113
0.262563	 8.8765e-16	 8.5554e-16	 1.0948e-15	 6.0958e-16	 3.211e-17	 0.0184203
0.263726	 7.9291e-16	 7.6311e-16	 9.7727e-16	 5.4405e-16	 2.98e-17	 0.0191514
0.264888	 7.3225e-16	 7.0377e-16	 9.055e-16	 5.0315e-16	 2.848e-17	 0.0198326
0.26605	 6.9083e-16	 6.6272e-16	 8.5694e-16	 4.7351e-16	 2.811e-17	 0.0207676
0.26721	 6.7754e-16	 6.4783e-16	 8.4434e-16	 4.6233e-16	 2.971e-17	 0.0224164
0.26837	 6.7835e-16	 6.51e-16	 8.5186e-16	 4.6418e-16	 2.735e-17	 0.020574
0.269529	 6.893e-16	 6.6145e-16	 8.6797e-16	 4.7024e-16	 2.785e-17	 0.0206182
0.270687	 6.987e-16	 6.715e-16	 8.8543e-16	 4.7797e-16	 2.72e-17	 0.0198511
0.271844	 6.8576e-16	 6.5885e-16	 8.7099e-16	 4.6643e-16	 2.691e-17	 0.0200132
0.273001	 6.5805e-16	 6.3089e-16	 8.3525e-16	 4.456e-16	 2.716e-17	 0.0210716
0.274156	 6.0578e-16	 5.811e-16	 7.6894e-16	 4.1179e-16	 2.468e-17	 0.020794
0.275311	 5.3485e-16	 5.1165e-16	 6.7983e-16	 3.6342e-16	 2.32e-17	 0.0221691
0.276465	 4.542e-16	 4.3142e-16	 5.7672e-16	 3.0956e-16	 2.278e-17	 0.0257221
0.277618	 3.7137e-16	 3.489e-16	 4.7088e-16	 2.5501e-16	 2.247e-17	 0.0311966
0.27877	 3.0683e-16	 2.8673e-16	 3.7637e-16	 2.1242e-16	 2.01e-17	 0.0338635
0.279922	 2.6368e-16	 2.4077e-16	 3.2989e-16	 1.8776e-16	 2.291e-17	 0.0454158
0.281072	 2.6021e-16	 2.3669e-16	 3.2663e-16	 1.9563e-16	 2.352e-17	 0.0473335
0.282222	 2.8766e-16	 2.6292e-16	 3.6166e-16	 1.9387e-16	 2.474e-17	 0.0449344
0.283371	 3.3727e-16	 3.1185e-16	 4.2754e-16	 2.2299e-16	 2.542e-17	 0.0391607
0.284519	 4.0313e-16	 3.8634e-16	 5.137e-16	 2.6052e-16	 1.679e-17	 0.0212674
0.285666	 4.7703e-16	 4.4354e-16	 6.0907e-16	 3.036e-16	 3.349e-17	 0.0363796
0.286812	 5.4948e-16	 5.1942e-16	 7.0671e-16	 3.4659e-16	 3.006e-17	 0.0281224
0.287957	 6.2685e-16	 5.9756e-16	 8.1013e-16	 3.9479e-16	 2.929e-17	 0.0239217
0.289102	 7.2735e-16	 6.977e-16	 9.1574e-16	 4.3743e-16	 2.965e-17	 0.0208063
0.290245	 8.1464e-16	 7.8802e-16	 1.0607e-15	 5.1462e-16	 2.662e-17	 0.0166099
0.291388	 9.1066e-16	 8.8618e-16	 1.2001e-15	 5.4223e-16	 2.448e-17	 0.0136239
0.29253	 1.0097e-15	 9.9073e-16	 1.3403e-15	 6.0049e-16	 1.897e-17	 0.00948296
0.293671	 1.109e-15	 1.0947e-15	 1.483e-15	 6.5595e-16	 1.43e-17	 0.00648909
0.294811	 1.1783e-15	 1.1682e-15	 1.5812e-15	 6.9621e-16	 1.01e-17	 0.00430428
0.29595	 1.2253e-15	 1.2181e-15	 1.6503e-15	 7.2335e-16	 7.2e-18	 0.00294671
