photonEnergy	Refl_sample	Phase_Sample	Refl_Monochromator	Phase_Monochromator	ReflSample_cc_ReflMono2	
-7.9	5.23725950773e-05	3.32965061813	8.77635576184e-05	3.41335504693	5.59417388329e-05	
-7.88	5.26337131513e-05	3.32964388079	8.81942485378e-05	3.41333728092	5.62300721665e-05	
-7.86	5.28967889791e-05	3.32963711005	8.86281177188e-05	3.41331942815	5.6520640974e-05	
-7.84	5.31618421812e-05	3.32963030567	8.90651965122e-05	3.41330148799	5.68134684527e-05	
-7.82	5.34288926251e-05	3.32962346739	8.95055166547e-05	3.41328345979	5.71085781005e-05	
-7.8	5.36979604281e-05	3.32961659497	8.99491102774e-05	3.41326534291	5.74059937212e-05	
-7.78	5.39690659619e-05	3.32960968813	9.03960099099e-05	3.41324713668	5.77057394291e-05	
-7.76	5.42422298555e-05	3.32960274663	9.08462484874e-05	3.41322884045	5.80078396539e-05	
-7.74	5.45174729994e-05	3.3295957702	9.12998593558e-05	3.41321045355	5.83123191456e-05	
-7.72	5.47948165509e-05	3.32958875858	9.17568762785e-05	3.41319197529	5.86192029799e-05	
-7.7	5.50742819357e-05	3.32958171151	9.22173334429e-05	3.413173405	5.89285165631e-05	
-7.68	5.53558908546e-05	3.3295746287	9.26812654655e-05	3.413154742	5.92402856376e-05	
-7.66	5.56396652857e-05	3.32956750989	9.31487074004e-05	3.41313598557	5.95545362872e-05	
-7.64	5.59256274901e-05	3.32956035481	9.36196947442e-05	3.41311713502	5.98712949425e-05	
-7.62	5.62138000155e-05	3.32955316318	9.40942634437e-05	3.41309818964	6.01905883865e-05	
-7.6	5.65042057007e-05	3.32954593471	9.45724499019e-05	3.41307914871	6.05124437604e-05	
-7.58	5.67968676802e-05	3.32953866912	9.50542909865e-05	3.41306001151	6.08368885695e-05	
-7.56	5.70918093891e-05	3.32953136612	9.55398240351e-05	3.4130407773	6.11639506886e-05	
-7.54	5.73890545675e-05	3.32952402543	9.60290868637e-05	3.41302144535	6.14936583686e-05	
-7.52	5.76886272657e-05	3.32951664676	9.65221177741e-05	3.4130020149	6.18260402422e-05	
-7.5	5.79905518476e-05	3.3295092298	9.70189555606e-05	3.41298248521	6.21611253304e-05	
-7.48	5.82948529984e-05	3.32950177426	9.75196395179e-05	3.4129628555	6.24989430488e-05	
-7.46	5.86015557263e-05	3.32949427983	9.80242094497e-05	3.41294312502	6.28395232139e-05	
-7.44	5.89106853703e-05	3.32948674622	9.85327056754e-05	3.41292329298	6.31828960499e-05	
-7.42	5.92222676048e-05	3.32947917311	9.9045169039e-05	3.41290335859	6.35290921953e-05	
-7.4	5.95363284438e-05	3.32947156019	9.95616409166e-05	3.41288332107	6.38781427101e-05	
-7.38	5.98528942475e-05	3.32946390715	0.000100082163226	3.4128631796	6.42300790821e-05	
-7.36	6.01719917273e-05	3.32945621367	0.000100606778433	3.41284293338	6.45849332346e-05	
-7.34	6.0493647952e-05	3.32944847942	0.000101135529564	3.41282258159	6.49427375336e-05	
-7.32	6.0817890353e-05	3.32944070409	0.000101668460208	3.4128021234	6.53035247949e-05	
-7.3	6.11447467299e-05	3.32943288735	0.000102205614535	3.41278155798	6.5667328292e-05	
-7.28	6.14742452573e-05	3.32942502885	0.000102747037295	3.41276088447	6.60341817635e-05	
-7.26	6.18064144905e-05	3.32941712828	0.000103292773836	3.41274010203	6.64041194211e-05	
-7.24	6.21412833713e-05	3.32940918528	0.000103842870109	3.41271920978	6.67771759576e-05	
-7.22	6.24788812348e-05	3.32940119952	0.000104397372677	3.41269820687	6.7153386555e-05	
-7.2	6.28192378156e-05	3.32939317064	0.000104956328727	3.4126770924	6.75327868928e-05	
-7.18	6.31623832542e-05	3.32938509831	0.000105519786081	3.41265586548	6.79154131566e-05	
-7.16	6.35083481045e-05	3.32937698216	0.000106087793203	3.41263452522	6.83013020466e-05	
